Symbol,Company Name,Industry,Market Cap
LLY,Eli Lilly and Company,Pharmaceuticals,250340
LMT,Lockheed Martin,Aerospace & Defense,124770
LNC,Lincoln National,Insurance,10640
LNG,Cheniere Energy,"Oil, Gas & Consumable Fuels",35520
LNT,Alliant Energy,Electric Utilities,15180
LOGI,Logitech International,"Technology Hardware, Storage & Periph...",12170
LOW,Lowe's Companies,Specialty Retail,150130
LPLA,LPL Financial Holdings,Capital Markets,12840
LRCX,Lam Research,Semiconductors & Semiconductor Equipment,73350
LSI,Life Storage,Equity Real Estate Investment Trusts ...,11350
LU,Lufax Holding,Consumer Finance,12360
LULU,Lululemon Athletica,"Textiles, Apparel & Luxury Goods",42380
LUMN,Lumen Technologies,Diversified Telecommunication Services,10800
LUV,Southwest Airlines Company,Airlines,24100
LVS,Las Vegas Sands,"Hotels, Restaurants & Leisure",31170
LYB,LyondellBasell Industries NV,Chemicals,31860
LYFT,"Lyft, Inc.",Road & Rail,12950
LYG,Lloyds Banking Group,Banks,41030
LYV,Live Nation Entertainment,Entertainment,26710
MA,Mastercard,IT Services,328830
MAA,Mid-America Apartment Communities,Equity Real Estate Investment Trusts ...,25400
MAR,Marriott International,"Hotels, Restaurants & Leisure",51970
MAS,Masco,Building Products,13270
MCD,McDonald's,"Hotels, Restaurants & Leisure",175340
MCHP,Microchip Technology,Semiconductors & Semiconductor Equipment,38060
MCK,McKesson,Health Care Providers & Services,42220
MCO,Moody's,Capital Markets,60350
MDB,MongoDB,IT Services,23830
MDLZ,Mondelez International,Food Products,88620
MDT,Medtronic plc.,Health Care Equipment & Supplies,145410
MELI,MercadoLibre,Internet & Direct Marketing Retail,53230
MET,MetLife,Insurance,52790
MFC,Manulife Financial,Insurance,38480
MFG,Mizuho Financial Group,Banks,33020
MGA,Magna International,Auto Components,18640
MGM,MGM Resorts International,"Hotels, Restaurants & Leisure",18240
MGP,MGM Growth Properties LLC,Equity Real Estate Investment Trusts ...,10240
MKC,McCormick & Company,Food Products,27680
MKL,Markel,Insurance,17130
MKTX,MarketAxess Holdings,Capital Markets,13940
MLM,Martin Marietta Materials,Construction Materials,23390
MMC,Marsh & McLennan Companies,Insurance,78680
MMM,3M Company,Industrial Conglomerates,83800
MMP,"Magellan Midstream Partners,","Oil, Gas & Consumable Fuels",10500
MNST,Monster Beverage,Beverages,43050
MO,Altria Group,Tobacco,97210
MOH,Molina Healthcare,Health Care Providers & Services,18900
MORN,Morningstar,Capital Markets,11480
MOS,The Mosaic Company,Chemicals,22040
MPC,Marathon Petroleum,"Oil, Gas & Consumable Fuels",43930
MPLX,MPLX LP,"Oil, Gas & Consumable Fuels",32970
MPW,Medical Properties Trust,Equity Real Estate Investment Trusts ...,12290
MPWR,Monolithic Power Systems,Semiconductors & Semiconductor Equipment,19240
MRK,Merck & Co.,Pharmaceuticals,196730
MRNA,Moderna,Biotechnology,57440
MRO,Marathon Oil,"Oil, Gas & Consumable Fuels",17400
MRVI,Maravai LifeSciences Holdings,Biotechnology,10180
MRVL,Marvell Technology,Semiconductors & Semiconductor Equipment,53510
MS,Morgan Stanley,Capital Markets,154880
MSCI,MSCI Inc.,Capital Markets,40770
MSFT,Microsoft,Software,2204400
MSI,Motorola Solutions,Communications Equipment,37500
MT,ArcelorMittal,Metals & Mining,26940
MTB,M&T Bank,Banks,22740
MTCH,Match Group,Interactive Media & Services,29210
MTD,Mettler-Toledo International,Life Sciences Tools & Services,31670
MU,Micron Technology,Semiconductors & Semiconductor Equipment,91720
MUFG,Mitsubishi UFJ Financial Group,Banks,75720
NDAQ,Nasdaq,Capital Markets,28200
NDSN,Nordson,Machinery,13120
NEE,NextEra Energy,Electric Utilities,157430
NEM,Newmont,Metals & Mining,58870
NET,Cloudflare,Software,37670
NFLX,Netflix,Entertainment,165810
NGG,National Grid,Multi-Utilities,54370
NI,NiSource,Multi-Utilities,12360
NICE,NICE Ltd.,Software,14300
NIO,NIO Inc.,Automobiles,31090
NKE,"Nike, Inc.","Textiles, Apparel & Luxury Goods",210080
NLOK,NortonLifeLock,Software,16980
NLY,Annaly Capital Management,Mortgage Real Estate Investment Trust...,10310
NMR,Nomura Holdings,Capital Markets,13210
NOC,Northrop Grumman,Aerospace & Defense,73140
NOK,Nokia,Communications Equipment,29380
NOW,ServiceNow,Software,114230
NSC,Norfolk Southern,Road & Rail,68230
NTAP,NetApp,"Technology Hardware, Storage & Periph...",17880
NTES,NetEase,Entertainment,61950
NTR,Nutrien,Chemicals,52510
NTRS,Northern Trust,Capital Markets,22340
NU,Nu Holdings,Banks-Diversified,33010
NUAN,Nuance Communications,Software,17880
NUE,Nucor,Metals & Mining,37330
NVDA,NVIDIA,Semiconductors & Semiconductor Equipment,571570
NVO,Novo Nordisk,Pharmaceuticals,238610
NVR,"NVR, Inc.",Household Durables,16640
NVS,Novartis AG,Pharmaceuticals,193910
NWG,NatWest Group,Banks,30880
NWS,News Corporation,Media,12950
NWSA,News Corporation,Media,12950
NXPI,NXP Semiconductors NV,Semiconductors & Semiconductor Equipment,46320
O,Realty Income,Equity Real Estate Investment Trusts ...,39510
ODFL,Old Dominion Freight Line,Road & Rail,36560
OKE,ONEOK,"Oil, Gas & Consumable Fuels",30530
OKTA,"Okta, Inc.",IT Services,26800
OLPX,Olaplex Holdings,Specialty Retail,10910
OMC,Omnicom Group,Media,16660
ON,ON Semiconductor,Semiconductors & Semiconductor Equipment,25230
ORAN,Orange,Diversified Telecommunication Services,30920
ORCL,Oracle,Software,204260
ORLY,O'Reilly Automotive,Specialty Retail,44900
OTEX,Open Text,Software,11510
OTIS,Otis Worldwide,Machinery,33130
OVV,Ovintiv,"Oil, Gas & Consumable Fuels",12650
OXY,Occidental Petroleum,"Oil, Gas & Consumable Fuels",52450
PANW,Palo Alto Networks,Software,54910
PARA,Paramount Global,Media,22120
PARAA,Paramount Global,Entertainment,24220
PATH,UiPath,Software-Infrastructure,14860
PAYC,Paycom Software,Software,20020
PAYX,Paychex,IT Services,44580
PBA,Pembina Pipeline,"Oil, Gas & Consumable Fuels",19970
PBR,Petroleo Brasileiro,"Oil, Gas & Consumable Fuels",94640
PBR-A,Petroleo Brasileiro,"Oil, Gas & Consumable Fuels",75180
PCAR,PACCAR,Machinery,30570
PCG,PG&E Corporation,Electric Utilities,25210
PCTY,Paylocity Holding,Software,10670
PDD,Pinduoduo,Internet & Direct Marketing Retail,51720
PEAK,Healthpeak Properties,Equity Real Estate Investment Trusts ...,17780
PEG,Public Service Enterprise Group,Multi-Utilities,33940
PEP,PepsiCo,Beverages,231060
PFE,Pfizer,Pharmaceuticals,273580
PFG,Principal Financial Group,Insurance,17520
PG,The Procter & Gamble Company,Household Products,371880
PGR,The Progressive Corporation,Insurance,62690
PH,Parker-Hannifin,Machinery,36760
PHG,Koninklijke Philips,Health Care Equipment & Supplies,26540
PHM,PulteGroup,Household Durables,12280
PINS,Pinterest,Interactive Media & Services,16620
PKG,Packaging Corporation of America,Containers & Packaging,13990
PKI,PerkinElmer,Life Sciences Tools & Services,22270
PKX,POSCO,Metals & Mining,17970
PLD,Prologis,Equity Real Estate Investment Trusts ...,111620
PLTR,Palantir Technologies,Software,23660
PLUG,Plug Power,Electrical Equipment,14200
PM,Philip Morris International,Tobacco,154760
PNC,The PNC Financial Services Group,Banks,77360
PODD,Insulet,Health Care Equipment & Supplies,18110
POOL,Pool Corporation,Distributors,18710
PPG,PPG Industries,Chemicals,29250
PPL,PPL Corporation,Electric Utilities,19450
PRU,Prudential Financial,Insurance,40020
PSA,Public Storage,Equity Real Estate Investment Trusts ...,66210
PSX,Phillips 66,"Oil, Gas & Consumable Fuels",37550
PTC,PTC Inc.,Software,12630
PTR,PetroChina Company,"Oil, Gas & Consumable Fuels",167770
PUK,Prudential,Insurance,39030
PWR,Quanta Services,Construction & Engineering,15580
PXD,Pioneer Natural Resources Company,"Oil, Gas & Consumable Fuels",58570
PYPL,PayPal Holdings,IT Services,122450
QCOM,Qualcomm,Semiconductors & Semiconductor Equipment,182870
QGEN,Qiagen,Life Sciences Tools & Services,10600
QRVO,Qorvo,Semiconductors & Semiconductor Equipment,14630
QSR,Restaurant Brands International,"Hotels, Restaurants & Leisure",25400
RACE,Ferrari,Automobiles,36810
RBLX,Roblox,Electronic Gaming & Multimedia,26620
