Symbol,Company Name,Industry,Market Cap
AMBP,Ardagh Metal Packaging,Packaging & Containers,5030
AMC,AMC Entertainment Holdings,Entertainment,8510
AMCI,AMCI Acquisition II,Blank Check / SPAC,182
AMCR,Amcor,Containers & Packaging,17200
AMCX,AMC Networks,Media,1810
AMD,Advanced Micro Devices,Semiconductors & Semiconductor Equipment,186350
AME,AMETEK,Electrical Equipment,30350
AMED,Amedisys,Health Care Providers & Services,5150
AMEH,Apollo Medical Holdings,Health Care Providers & Services,1870
AMG,Affiliated Managers Group,Capital Markets,5250
AMGN,Amgen,Biotechnology,129740
AMH,American Homes 4 Rent,Equity Real Estate Investment Trusts ...,15740
AMK,AssetMark Financial Holdings,Capital Markets,1630
AMKR,Amkor Technology,Semiconductors & Semiconductor Equipment,5160
AMLX,Amylyx Pharmaceuticals,Biotechnology,1540
AMN,AMN Healthcare Services,Health Care Providers & Services,4880
AMNB,American National Bankshares,Banks,404
AMOT,Allied Motion Technologies,Electrical Equipment,538
AMOV,America Movil,Wireless Telecommunication Services,60010
AMP,Ameriprise Financial,Capital Markets,31180
AMPE,Ampio Pharmaceuticals,Pharmaceuticals,107
AMPG,AmpliTech Group,Communication Equipment,32
AMPH,Amphastar Pharmaceuticals,Pharmaceuticals,1370
AMPI,Advanced Merger Partners,Blank Check / SPAC,350
AMPL,Amplitude,Software-Application,2130
AMPS,Altus Power,Utilities-Renewable,1160
AMPY,Amplify Energy,Oil & Gas E&P,208
AMR,Alpha Metallurgical Resources,"Oil, Gas & Consumable Fuels",2140
AMRC,Ameresco,Construction & Engineering,3390
AMRK,A-Mark Precious Metals,Diversified Financial Services,865
AMRN,Amarin,Biotechnology,1240
AMRS,Amyris,Chemicals,1480
AMRX,Amneal Pharmaceuticals,Pharmaceuticals,1180
AMS,American Shared Hospital Services,Health Care Providers & Services,14
AMSC,American Superconductor,Electrical Equipment,226
AMSF,AMERISAFE,Insurance,907
AMST,Amesite,Software-Application,16
AMSWA,American Software,Software,728
AMT,American Tower,Equity Real Estate Investment Trusts ...,108630
AMTB,Amerant Bancorp,Banks,1110
AMTD,AMTD International,Investment Banking and Securities Dea...,2330
AMTI,Applied Molecular Transport,Biotechnology,218
AMTX,Aemetis,"Oil, Gas & Consumable Fuels",412
AMWD,American Woodmark,Building Products,975
AMWL,American Well,Health Information Services,969
AMX,America Movil,Wireless Telecommunication Services,59530
AMYT,Amryt Pharma,Drug Manufacturers-Specialty & Generic,416
AMZN,Amazon.com,Internet & Direct Marketing Retail,1482170
AN,AutoNation,Specialty Retail,6980
ANAB,AnaptysBio,Biotechnology,836
ANAC,Arctos NorthStar Acquisition,Blank Check / SPAC,386
ANAT,American National Group,Insurance,5100
ANDE,The Andersons,Food & Staples Retailing,1630
ANEB,Anebulo Pharmaceuticals,Biotechnology,157
ANET,Arista Networks,Communications Equipment,36430
ANF,Abercrombie & Fitch Company,Specialty Retail,1620
ANGH,Anghami,Entertainment,418
ANGI,Angi Inc.,Interactive Media & Services,3250
ANGN,Angion Biomedica,Biotechnology,58
ANGO,AngioDynamics,Health Care Equipment & Supplies,932
ANIK,Anika Therapeutics,Biotechnology,448
ANIP,ANI Pharmaceuticals,Pharmaceuticals,608
ANIX,Anixa Biosciences,Biotechnology,82
ANNX,Annexon,Biotechnology,167
ANPC,AnPac Bio-Medical Science Co.,Biotechnology,12
ANSS,ANSYS,Software,27160
ANTE,AirNet Technology,Media,22
ANTM,Anthem,Health Care Providers & Services,115060
ANVS,Annovis Bio,Biotechnology,108
ANY,Sphere 3D,Software,135
ANZU,Anzu Special Acquisition I,Blank Check / SPAC,517
AOGO,Arogo Capital Acquisition,Blank Check / SPAC,116
AOMR,Angel Oak Mortgage,REIT-Mortgage,412
AON,Aon plc,Insurance,62840
AORT,Artivion,Medical Devices,870
AOS,A. O. Smith,Building Products,10880
AOSL,Alpha & Omega Semiconductor,Semiconductors & Semiconductor Equipment,1250
AOUT,American Outdoor Brands,Leisure Products,215
AP,Ampco-Pittsburgh,Metals & Mining,124
APA,APA Corporation,"Oil, Gas & Consumable Fuels",13690
APAC,Stonebridge Acquisition,Blank Check / SPAC,248
APAM,Artisan Partners Asset Management,Capital Markets,2500
APCA,AP Acquisition,Blank Check / SPAC,215
APCX,AppTech Payments,Software-Infrastructure,20
APD,Air Products & Chemicals,Chemicals,50650
APDN,Applied DNA Sciences,"Electronic Equipment, Instruments & C...",19
APEI,American Public Education,Diversified Consumer Services,368
APEN,Apollo Endosurgery,Health Care Equipment & Supplies,267
APG,APi Group,Construction & Engineering,4580
APGB,Apollo Strategic Growth Capital II,Blank Check / SPAC,842
APH,Amphenol,"Electronic Equipment, Instruments & C...",45660
API,Agora,"Electronic Equipment, Instruments & C...",1160
APLE,Apple Hospitality REIT,Equity Real Estate Investment Trusts ...,4020
APLS,Apellis Pharmaceuticals,Biotechnology,4250
APLT,Applied Therapeutics,Biotechnology,44
APM,Aptorum Group,Biotechnology,46
APMI,AxonPrime Infrastructure Acquisition,Blank Check / SPAC,181
APN,Apeiron Capital Investment,Blank Check / SPAC,214
APO,Apollo Global Management,Capital Markets,38090
APOG,Apogee Enterprises,Building Products,1130
APP,AppLovin,Software-Application,18850
APPF,AppFolio,Software,4070
APPH,AppHarvest,Food Products,455
APPN,Appian,Software,3880
APPS,Digital Turbine,Software,4130
APR,Apria,Medical Instruments & Supplies,1330
APRE,Aprea Therapeutics,Biotechnology,34
APRN,Blue Apron Holdings,Internet & Direct Marketing Retail,160
APSG,Apollo Strategic Growth Capital,Shell Companies,1010
APT,Alpha Pro Tech,Building Products,53
APTM,Alpha Partners Technology Merger,Blank Check / SPAC,349
APTO,Aptose Biosciences,Biotechnology,100
APTS,Preferred Apartment Communities,Equity Real Estate Investment Trusts ...,1430
APTV,Aptiv,Auto Components,28640
APTX,Aptinyx,Biotechnology,198
APVO,Aptevo Therapeutics,Biotechnology,27
APWC,Asia Pacific Wire & Cable,Electrical Equipment,34
APXI,APx Acquisition I,Blank Check / SPAC,214
APYX,Apyx Medical,Health Care Equipment & Supplies,350
