Stock Name,NSE code,BSE code,ISIN,Current Price Rs,Industry Name,Industry Net Profit Growth Annual YoY %,PEG TTM PE to Growth,Net Profit Margin Annual %,Operating Profit Margin Annual %,Net Profit Annual YoY Growth %,Revenue Growth Annual YoY %,10Yr High Rs,10Yr price change %,Industry PE TTM,Long Term Debt To Equity Annual,ROCE Annual 1Yr Ago %,ROCE Annual %,Market Capitalization in Cr,MACD,50Day EMA Rs,200Day EMA Rs,% Distance from 52week high,Previous Day RSI,RSI
360 One Wam Ltd.,360ONE,542772,INE466L01038,477.6,Other Financial Services,115.6,2.3,33.3,58.5,13.9,-0.7,545,,27.7,2.1,12.6,12.8,17064.4,0.6,493.8,456.2,12.4,49.3,37
3i Infotech Ltd.,3IINFOLTD,532628,INE748C01038,32.8,IT Consulting & Software,10.3,-0.6,0.2,4.4,102.4,6.8,119.3,720,36.4,,-2.9,2.6,552.6,-0.3,33.2,35.8,39.5,47.7,47.2
3M India Ltd.,3MINDIA,523395,INE470A01017,31200,Industrial Machinery,-23.6,1.4,11.4,15,65.8,19.4,31989,945.5,50.3,,16.5,35.4,35147.1,878.4,28465,25491.4,2.5,72.2,65.8
5Paisa Capital Ltd.,5PAISA,540776,INE618L01018,450,Capital Markets,-3.3,0.1,12.9,25.3,217.2,13.9,580,,22.1,,10.6,16.6,1378.6,7.1,423.7,361.6,7.2,54.2,52.9
63 Moons Technologies Ltd.,63MOONS,526881,INE111B01023,334,IT Consulting & Software,10.3,0.5,-7.5,-6.7,69.3,74.8,403.9,193.2,36.4,,-1.9,2,1538.8,24.7,263.9,209,7.4,65.2,66.4
Aarti Drugs Ltd.,AARTIDRUGS,524348,INE767A01016,569.6,Pharmaceuticals,6.1,-4.8,6.1,11.2,-18.9,8.7,1027,2318.7,38.9,0.2,22.9,17.3,5274.5,5.4,536.3,475,11.8,59,55.2
Aarti Industries Ltd.,AARTIIND,524208,INE769A01020,491,Specialty Chemicals,-8.2,-0.6,8.2,16.5,-58.3,-5.4,1168,2809.1,65.2,0.1,22.4,13.4,17800.8,1.7,476.3,552,46.9,64.8,65.7
Aarti Surfactants Ltd.,AARTISURF,543210,INE09EO01013,642.6,Specialty Chemicals,-8.2,0.2,2.1,7.9,131.2,4.5,1887,,65.2,0.4,7.9,12.7,510.3,3.7,609.3,632.8,32.3,70.4,65.9
Aavas Financiers Ltd.,AAVAS,541988,INE216P01012,1627.2,Housing Finance ,13681.1,1.7,26.7,72.4,21,23.4,3340,,15.7,0.5,8.6,23.4,12875.5,13.6,1560.1,1690.9,30.4,54,65.3
Abans Holdings Ltd.,AHL,543712,INE00ZE01026,275.9,Finance (including NBFCs),56.2,,6.1,6.3,13.9,80.1,343.8,,27.2,0.1,11.8,8.4,1383.5,-4.3,278.5,,19.7,36.8,44
ABB India Ltd.,ABB,500002,INE117A01022,4291.4,Heavy Electrical Equipment,74.7,3.2,11.9,11,95.5,23.3,4614.4,857,80.4,,15.1,20.9,90939.4,-17.9,4307.3,3717.9,7,49.4,52.1
Abbott India Ltd.,ABBOTINDIA,500488,INE358A01014,22704.6,Pharmaceuticals,6.1,1.7,17.8,21.9,18.9,10.1,24744.2,1551,38.9,,36.4,38.5,48245.8,-66.9,23282.6,21868.9,8.2,47.2,42
ACC Ltd.,ACC,500410,INE012A01025,2011.2,Cement & Cement Products,-27.3,-1.1,3.9,8.5,-52.5,37.9,2785,108.6,65.2,,17.3,9.6,37768.7,25,1914.5,1962.8,27.8,59.8,60.6
Accelya Solutions India Ltd.,ACCELYA,532268,INE793A01012,1594.6,IT Consulting & Software,10.3,0.3,27,38.8,66.3,27.2,1890,159.3,36.4,,37.8,57.4,2380.1,52.2,1428.7,1330.1,8.7,67.1,63
Action Construction Equipment Ltd.,ACE,532762,INE731H01025,760.6,Construction & Engineering,43.8,0.9,8,10,63.4,33.8,821,9290.7,32.4,,19.6,26,9058.1,28.9,679.6,489.5,7.4,62.5,58.3
Adani Energy Solutions Ltd.,ADANIENSOL,539254,INE931S01010,824.9,Electric Utilities,15.7,2.4,9.6,32.6,4.3,16.7,4236.8,,44.8,2.7,8.1,7.4,92017,13,839,1312.2,80.5,49.7,44.5
Adani Enterprises Ltd.,ADANIENT,512599,INE423A01024,2450,Commodity Trading  & Distribution,130.3,0.6,1.6,6.4,218.4,96.2,4190,1631.5,95.1,1,6,7.8,279306,9,2452.2,2456.3,41.5,51,43.3
Adani Green Energy Ltd.,ADANIGREEN,541450,INE364U01010,949.1,Electric Utilities,15.7,1.1,11.7,57.1,99.2,54.8,3050,,44.8,8.3,6.6,7.6,150340.5,-10.5,984.4,1185.7,61.2,45.5,37.8
Adani Ports & Special Economic Zone Ltd.,ADANIPORTS,532921,INE742F01042,799.5,Marine Port & Services,10.9,0.7,25.6,48.9,12.3,23.9,987.8,534.8,27.4,1,9.9,8.9,172703.1,14.6,774.6,742.5,19.1,57.7,49
Adani Power Ltd.,ADANIPOWER,533096,INE814H01011,330.2,Electric Utilities,15.7,0.2,27.7,23.3,118.4,35.8,432.5,881.4,44.8,2,16.4,16.2,127375.4,17.6,281.6,258,21.2,65,60.9
Adani Total Gas Ltd.,ATGL,542066,INE399L01023,633.8,Utilities:Non-Electrical,-33.8,11.9,12.1,19.7,7.3,43.4,4000,,50.2,0.1,24.8,23,69711.5,-0.9,674.2,1308.2,84.2,49.2,41.2
Adani Wilmar Ltd.,AWL,543458,INE699H01024,352.2,Edible Oils,-15.9,-2.4,1,2.8,-27.6,7.5,878,,99.5,,18.8,16.8,45781.2,-8.8,392.3,451,58.2,35.1,29.7
ADF Foods Ltd.,ADFFOODS,519183,INE982B01019,1083.9,Packaged Foods,42.6,0.9,12.4,17.5,16.6,7.2,1162.4,2640.6,67.6,,16.1,16.2,2381.6,7.8,1043.7,892.9,6.8,55.3,55.4
Aditya Birla Capital Ltd.,ABCAPITAL,540691,INE674K01013,184.1,Holding Companies,56.5,0.1,16.6,24.6,181.1,35.8,255,,25.7,1.5,5.4,8.2,47840.3,-1.5,183,162.6,7.6,43.5,43.4
Aditya Birla Fashion and Retail Ltd.,ABFRL,535755,INE647O01011,218.4,Department Stores,-845.3,0.4,-0.5,11.9,66.9,52.2,359.5,71.9,111.2,0.5,3.1,3.8,20721.3,1.4,214.6,233.1,39.3,57.4,55
Aditya Birla Sun Life AMC Ltd.,ABSLAMC,543374,INE404A01024,389.5,Asset Management Cos.,-4.8,1.8,48.6,52.1,-11.4,-3.9,722.9,,27.8,,39.4,30.2,11220,-1.1,388.1,396.9,22.6,49.7,47.7
Ador Welding Ltd.,ADORWELD,517041,INE045A01017,1197.8,Other Industrial Goods,-9.1,1.2,7.6,11.1,31.2,17.5,1337.6,1179.6,39.6,,18.3,24.8,1628.8,0.8,1159.9,1033.5,10.5,52.8,55
Advanced Enzyme Technologies Ltd.,ADVENZYMES,540025,INE837H01020,324.6,Biotechnology,-61.8,1.9,19.2,27.6,-11.7,5.7,503.7,,68.3,,14.3,10.9,3629.3,4.6,312.1,289.9,6.3,55.2,56.3
Aegis Logistics Ltd.,AEGISCHEM,500003,INE208C01025,369,Oil Marketing & Distribution,-50.2,1.3,5.9,7.6,29.5,88.8,410.5,3242.4,10.9,0.3,17.2,12.2,12951.9,1.9,363.9,347.2,10.1,52.6,52.8
Aether Industries Ltd.,AETHER,543534,INE0BWX01014,990.8,Specialty Chemicals,-8.2,4.9,20,27.9,19.7,11.8,1209,,65.2,,30.2,14,13129.8,-2.8,1038.2,966.2,18.1,45.5,41.6
Affle (India) Ltd.,AFFLE,542752,INE00WC01027,1077.8,Internet Software & Services,-99.5,5.5,17.2,19.4,14.4,29,1511,,51.8,,18,18.3,14362.5,2.3,1069.2,1052.9,20.9,49,48.3
Agarwal Industrial Corporation Ltd.,AGARIND,531921,INE204E01012,1046.4,Petrochemicals,10.6,0.5,4.6,6.7,44.9,26.3,1060,,18.7,0.2,25.6,24.8,1565.3,44,802.3,678,1.3,65.4,65.2
AGI Greenpac Ltd.,AGI,500187,INE415A01038,732.2,Furniture-Furnishing-Paints,21.2,6.5,11.5,20,35.3,56.6,757.8,817,63.5,0.4,8.2,14.8,4737.5,27.2,653.3,497.8,3.4,63.5,63.2
Agro Tech Foods Ltd.,ATFL,500215,INE209A01019,825.8,Packaged Foods,42.6,21.8,1.8,5.3,-41.7,-7.5,1144,72.6,67.6,,7.3,4.6,2012.4,-8.3,836,831.9,14.8,39.4,37.4
AGS Transact Technologies Ltd.,AGSTRA,543451,INE583L01014,65.4,Internet Software & Services,-99.5,0.3,2.2,23.2,144.8,-5,181.8,,51.8,1.4,15,15.1,793.4,1.8,59.7,63.4,26.3,62.3,63.5
Ahluwalia Contracts (India) Ltd.,AHLUCONT,532811,INE758C01029,710.1,Construction & Engineering,43.8,0.8,6.8,10.6,25,5.4,774.2,3823.2,32.4,,21.6,21.4,4756.8,9.3,692.7,579.8,8.3,51.1,52
AIA Engineering Ltd.,AIAENG,532683,INE212H01026,3703.8,Other Industrial Goods,-9.1,0.4,21.5,24.1,71.2,38.2,3744,1047.4,39.6,,16.3,24,34934.4,67.6,3460.2,3012.8,1.1,67.3,66.5
Ajanta Pharma Ltd.,AJANTPHARM,532331,INE031B01049,1718.4,Pharmaceuticals,6.1,-2.7,15.7,20.4,-17.5,11.1,1805,1165.4,38.9,,27,21.2,21636.7,39.5,1612.2,1403.3,4.8,59.2,59
Ajmera Realty & Infra India Ltd.,AJMERA,513349,INE298G01027,373.3,Realty,30.1,0.2,16.6,28.2,57.7,-9.9,495,555.5,97.8,1,6.9,7.3,1324.7,-5.3,363.8,328.1,9.9,51.8,52.9
Akzo Nobel India Ltd.,AKZOINDIA,500710,INE133A01011,2750,Furniture-Furnishing-Paints,21.2,1.3,8.8,13.7,15.5,20.8,2965.2,269.6,63.5,,26.9,31.8,12523.6,11.2,2695.8,2434.4,7.3,52,48.8
Alembic Ltd.,ALEMBICLTD,506235,INE426A01027,81,Realty,30.1,0.1,63.4,21.1,-14.1,14.4,143.3,570.5,97.8,,3.8,4.6,2079.9,0.7,77.6,72.5,7.5,57.2,57.4
Alembic Pharmaceuticals Ltd.,APLLTD,533573,INE901L01018,770,Pharmaceuticals,6.1,0.4,6.6,12.5,-34.4,5.6,1145,472.9,38.9,,11.8,9.6,15135.4,13.1,717.5,636,3.5,57.6,59.4
Alicon Castalloy Ltd.,ALICON,531147,INE062D01024,851.7,Aluminium and Aluminium Products,-37.6,1,3.7,10.9,112.7,29.9,1112.9,1833.5,11.8,0.2,10.4,15,1372.2,3.2,830.8,817.2,23.5,50.8,57.9
Alkem Laboratories Ltd.,ALKEM,539523,INE540L01014,3614.8,Pharmaceuticals,6.1,-3,8.7,13.6,-40.2,9.4,4243,,38.9,,20.6,15.1,43219.8,-34.4,3725.3,3447.6,14.8,40.7,37.1
Alkyl Amines Chemicals Ltd.,ALKYLAMINE,506767,INE150B01039,2489.9,Specialty Chemicals,-8.2,-4.7,13.6,20.2,1.7,8.9,4749,8792.5,65.2,,29.4,25.2,12726.8,-0.3,2435.9,2562.8,22.2,67.3,62.8
Allied Digital Services Ltd.,ADSL,532875,INE102I01027,133.6,IT Consulting & Software,10.3,-1,1,13.3,-88.7,36.6,174.5,955.7,36.4,,8.9,13.1,733.8,0.6,125.8,108.9,13.7,53,51.7
Allsec Technologies Ltd.,ALLSEC,532633,INE835G01018,588.8,BPO/KPO,-77.6,-1.6,12.5,22.2,37.1,23.1,747.9,2379.2,24,,25.9,26,897.2,8.8,569.6,520.1,8.7,51.5,50.3
Alok Industries Ltd.,ALOKINDS,521070,INE270A01029,19.9,Textiles,-85.9,,-12.7,-1.1,-322.1,-4.8,58.5,213.4,31.3,-1.2,5.8,-12.4,9880.8,0.8,16.2,15.6,7.9,65.2,76.4
Amara Raja Batteries Ltd.,AMARAJABAT,500008,INE885A01032,625.6,Auto Parts & Equipment,-1.9,0.3,6.7,12.9,35.5,19.4,1128,143.4,54.4,,14.6,17.9,10685.2,-3.1,631.9,610.3,11.8,48,48.6
Amber Enterprises India Ltd.,AMBER,540902,INE371P01015,2972.2,Consumer Electronics,-22.3,3.9,2.4,6,44,64.6,4026,,117,0.3,8.8,11.9,10014.4,142.6,2503.4,2250,3.9,72.8,73
Ambika Cotton Mills Ltd.,AMBIKCO,531978,INE540G01014,1657.6,Textiles,-85.9,-0.2,13.2,20.3,-37.8,-6.9,2830,640,31.3,,32.6,18.8,949,9,1539,1560.4,12.2,67.2,65.5
Ambuja Cements Ltd.,AMBUJACEM,500425,INE079A01024,433.9,Cement & Cement Products,-27.3,-3.4,7.7,12.9,-7.1,35.3,598,152.9,65.2,,15.9,10.5,86157.1,-1.7,442,432.7,27.4,47.8,39.7
Ami Organics Ltd.,AMIORG,543349,INE00FF01017,1316,Pharmaceuticals,6.1,3.4,13.5,19.7,15.8,18.8,1434.4,,38.9,,18.5,19,4794.9,32.6,1240.3,1110.7,5.3,59.4,59.5
Anand Rathi Wealth Ltd.,ANANDRATHI,543415,INE463V01026,1398.8,Other Financial Services,115.6,1,30.7,42.8,32.9,31.2,1532.1,,27.7,,44.4,45.8,5838.6,80.5,1202.1,932.4,8.7,76.8,75.1
Anant Raj Ltd.,ANANTRAJ,515055,INE242C01024,220.8,Realty,30.1,0.3,15.1,19.6,175.3,100.5,224.1,405.8,97.8,0.3,2.6,5.7,7156,7.3,191.8,148.4,1.5,67.7,69.7
Andhra Paper Ltd.,ANDHRAPAP,502330,INE435A01028,453.6,Paper & Paper Products,167.6,,24.9,34.2,273.9,50.8,591,80.5,21.8,,16.2,43.4,1803.8,7.4,431.9,423.7,9.2,59.5,55
Andhra Petrochemicals Ltd.,ANDHRAPET,500012,INE714B01016,82.9,Petrochemicals,10.6,0.9,3,4.9,-91,-28.4,197.4,596.1,18.7,,51.3,6.3,704.4,4.6,66.3,68.7,24.4,70.5,72.7
Andrew Yule & Company Ltd.,ANDREWYU,526173,INE449C01025,27.4,Tea & Coffee,-811.7,0.4,0.3,-1.6,336.7,-13.8,33.7,,41,,9.6,4.2,1337.3,0.6,25.8,24.1,18.8,57.6,56.6
Angel One Ltd.,ANGELONE,543235,INE732I01013,1915.2,Capital Markets,-3.3,0.5,29.6,42.8,42.4,31.1,2022,,22.1,,55.4,56.7,16063,51,1648.5,1453.6,1.1,63,69.6
Anjani Portland Cement Ltd.,APCL,518091,INE071F01012,186.2,Cement & Cement Products,-27.3,,-8.8,3.2,-240.4,-17.4,532,,65.2,1.1,10.9,-3.6,546.8,-0.8,187.9,194.4,36.1,46.2,47.4
Antony Waste Handling Cell Ltd.,AWHCL,543254,INE01BK01022,343.9,Misc. Commercial Services,105.8,-0.7,9.9,16.8,0.3,31.5,489.9,,47.7,0.5,18.3,13.2,972.8,6.9,318.1,296.3,6.8,57.7,59.5
Anuh Pharma Ltd.,ANUHPHR,506260,INE489G01022,134,Pharmaceuticals,6.1,0.6,6.8,9.6,18.4,8.5,218.7,594.7,38.9,,18.5,19.6,671.5,4.3,120.7,102.7,4.6,56.9,63.6
Anupam Rasayan India Ltd.,ANURAS,543275,INE930P01018,1005.2,Agrochemicals,8.6,4.8,13.4,26.8,18.8,49,1234,,39.9,0.1,11,12.4,10809.3,7.8,993.5,921.3,18.5,60.8,58
Apar Industries Ltd.,APARINDS,532259,INE372A01015,4957.4,Other Electrical Equipment/Products,22,0.2,4.4,8.5,148.4,53.9,5350,5588.4,63.4,0.1,23.6,46.6,18971.3,361.1,4035,2857.2,7.3,76.9,77.7
Apcotex Industries Ltd.,APCOTEXIND,523694,INE116A01032,547.5,Other Industrial Goods,-9.1,-1.5,10,14.6,9.2,12.7,679,2434.7,39.6,0.3,30.4,24.2,2838.5,2.2,520.5,504.3,18.2,55.5,56.2
Apex Frozen Foods Ltd.,APEX,540692,INE346W01013,232.8,Other Food Products,9.2,-0.6,3.4,7.7,-12.7,15.6,939,,36.5,,14.6,13.1,727.5,-0.2,217,228,35.3,44,43.9
APL Apollo Tubes Ltd.,APLAPOLLO,533758,INE702C01027,1729.5,Iron & Steel Products,7.9,1.8,4,6.3,15.2,23.7,1741,12598.2,45.6,0.1,29,25.3,47964.4,55.6,1484.4,1273.8,0.7,62.3,66
Apollo Hospitals Enterprise Ltd.,APOLLOHOSP,508869,INE437A01024,4842,Healthcare Facilities,17.7,-4.3,5.3,12.3,-22.4,13.3,5935.4,460.1,63.6,0.3,15.4,13.7,69620.6,-55.4,4962.5,4706.1,9.7,42.3,38.3
Apollo Pipes Ltd.,APOLLOPIPE,531761,INE126J01016,675.4,Plastic Products,-18.8,-2.5,2.6,7.4,-51.9,16.3,790,,71.8,,17.1,9,2974.8,-8.8,700.1,621.1,14.5,38.7,36
Apollo Tyres Ltd.,APOLLOTYRE,500877,INE438A01022,384.8,Auto Tyres & Rubber Products,0.4,0.2,4.5,13.5,73,16.8,440.9,511.2,33.2,0.3,6.7,10,24435.5,-7.8,403.8,357.2,12.7,38.2,36.7
Aptech Ltd.,APTECHT,532475,INE266F01018,310.1,IT Training Services,-94.4,0.6,14.8,16.1,36.9,98.5,422.8,663,22.1,,20.5,31.1,1797.8,-7.1,327.3,295.8,26.7,41.9,40
Aptus Value Housing Finance India Ltd.,APTUS,543335,INE852O01025,268.4,Housing Finance ,13681.1,1,46,79.8,35.9,34.4,394.9,,15.7,0.1,20.6,24.8,13368.1,0.3,266.1,273,27.1,46.8,51.5
Archean Chemical Industries Ltd.,ACI,543657,INE128X01021,664.3,Commodity Chemicals,30.6,,26.5,42.7,103.3,29.9,731.8,,44.9,,30.4,38.4,8174.4,31.8,561,,9.2,82.9,85.4
Arihant Capital Markets Ltd.,ARIHANTCAP,511605,INE420B01036,55.2,Other Financial Services,115.6,-0.6,20.9,35.9,-42.2,-19,95.9,,27.7,,29.6,18.2,575.2,1.8,49.5,49.6,36.3,56.5,59.2
Arihant Superstructures Ltd.,ARIHANTSUP,506194,INE643K01018,175.8,Realty,30.1,-3.6,11,19.8,-24,17.8,259,,97.8,1.5,18.4,14,723.4,-0.5,175.2,188.7,32.1,52.6,51
Arman Financial Services Ltd.,ARMANFIN,531179,INE109C01017,2354.2,Finance (including NBFCs),56.2,0.1,22.1,70.3,195.7,80.4,2539.7,,27.2,,30.8,79,1999.6,48.6,2201.9,1770.6,7.3,62.2,59.7
Artemis Medicare Services Ltd.,ARTEMISMED,542919,INE025R01021,127,Healthcare Facilities,17.7,4.3,5.2,12.6,21.3,33.3,134.6,,63.6,0.6,8.6,10,1725.4,0.8,118.6,92.2,5.6,59.1,54.2
Arvind Fashions Ltd.,ARVINDFASN,542484,INE955V01021,323.4,Other Apparels & Accessories,14.9,1.7,2,10.1,113.7,43.2,1089.7,,72.8,,0.9,15,4297.9,-3.9,319,309.4,16.9,52.4,54
Arvind Ltd.,ARVIND,500101,INE034A01011,175.4,Textiles,-85.9,1.6,4.9,9.5,69.9,4.2,478.5,123.1,31.3,0.1,13.9,14.5,4589.9,10,146.1,118.9,2.9,71.2,72.4
Arvind SmartSpaces Ltd.,ARVSMART,539301,INE034S01021,356.5,Realty,30.1,-5.4,10.9,18.6,2.2,-0.4,415.2,,97.8,0.3,10.8,8.3,1615.4,-1.9,347.9,309.3,14.1,44.3,41
Asahi India Glass Ltd.,ASAHIINDIA,515030,INE439A01020,587.6,Auto Parts & Equipment,-1.9,-3,8.6,19.7,5.8,26.5,694,1739,54.4,0.4,23,22,14282.7,13.6,528.6,514.1,15.3,66,68.1
Ashapura Minechem Ltd.,ASHAPURMIN,527001,INE348A01023,228,Mining,-37.8,0.1,5,9,35.2,39.6,244.9,477.2,12.1,1,10.6,11.5,2085.9,16.7,183.1,139,6.9,63.9,64.8
Ashiana Housing Ltd.,ASHIANA,523716,INE365D01021,211.6,Realty,30.1,0.2,6.8,6.6,495.5,82,327.7,423.6,97.8,0.2,-0.6,3.8,2165.3,1.7,200.4,177.5,7.2,54.4,54.2
Ashok Leyland Ltd.,ASHOKLEY,500477,INE208A01029,184.2,Commercial Vehicles,145.2,,3.2,12.2,446,58.7,191.5,1435,32.4,2.3,7.9,13.3,54083.5,2.5,177.6,158.5,3.8,63.4,50.8
Ashoka Buildcon Ltd.,ASHOKA,533271,INE442H01029,102.2,Roads & Highways,102.4,-0.1,4.6,23.9,-52.3,34,196.5,227,25.7,0.4,30.1,51.8,2870.4,1.9,94.9,86.5,4.3,56.4,57.1
Asian Energy Services Ltd.,ASIANENE,530355,INE276G01015,148.4,Oil Equipment & Services,176.2,,-41,-16.5,-214.3,-56.7,173,,71.3,,16.8,-17.9,565.2,4.6,130.6,106.5,2.3,62.6,64.4
Asian Granito India Ltd.,ASIANTILES,532888,INE022I01019,64.8,Furniture-Furnishing-Paints,21.2,0.1,-5.6,-4.3,-179.1,-1.8,618.2,151.4,63.5,0.1,12.8,-6.2,821.9,4.2,51.1,51.6,8.3,84,79.3
Asian Paints Ltd.,ASIANPAINT,500820,INE021A01026,3259.6,Furniture-Furnishing-Paints,21.2,2,11.9,17.9,35.5,18.3,3590,674.3,63.5,,28.3,32.3,312655.3,-22.2,3274.4,3144.5,9,53.2,47.1
ASM Technologies Ltd.,ASMTEC,526433,INE867C01010,485,IT Consulting & Software,10.3,-1.5,3.2,9.3,-51.1,14.2,876.8,1395.8,36.4,0.3,29.5,18.7,533.4,-12,494.2,474,23.8,42.2,42.1
Associated Alcohols & Breweries Ltd.,ASALCBR,507526,INE073G01016,436.2,Breweries & Distilleries,18.2,-0.5,5.9,8.8,-31.7,34.7,653.6,,78.7,0.2,25.6,12.9,788.5,-4,433.9,416.4,17.5,44.4,44.3
Astec Lifesciences Ltd.,ASTEC,533138,INE563J01010,1405.1,Agrochemicals,8.6,-4.9,4.1,11.9,-71.5,-6.7,2288.8,7599.2,39.9,,32,12.3,2755.3,24.4,1336.5,1457.6,38.6,66.1,66.6
Aster DM Healthcare Ltd.,ASTERDM,540975,INE914M01019,330,Healthcare Facilities,17.7,-1.3,4,13,-19.2,16.6,338,,63.6,0.3,9.9,8.4,16481.4,5.7,307.2,267,2.4,62.8,63
Astra Microwave Products Ltd.,ASTRAMICRO,532493,INE386C01029,392.1,Defence,16.1,1.1,8.9,18,84.4,8.5,405.1,1043.1,35.8,,11.6,18,3722.8,5.8,363.1,320.6,3.2,61.7,67
Astral Ltd.,ASTRAL,532830,INE006I01046,1911.1,Plastic Products,-18.8,-52.9,9.2,15.6,-5.6,17.1,2058,4027.6,71.8,,27.1,21.7,51335.8,11.9,1923.9,1708.8,7.1,51.5,48.2
AstraZeneca Pharma India Ltd.,ASTRAZEN,506820,INE203A01020,4323.8,Pharmaceuticals,6.1,0.9,9.9,16,61.2,25.4,4970,432.8,38.9,,16,29.1,10809.5,116.3,3888.2,3520.6,0.6,78.6,76.8
Atul Auto Ltd.,ATULAUTO,531795,INE951D01028,597.1,2/3 Wheelers,20.4,-9.6,0.6,7,116,62.5,721.8,677,27.6,0.2,-6.1,5.1,1555.5,48.6,400.4,342.8,5,85.4,86.6
Atul Ltd.,ATUL,500027,INE100A01010,7354.4,Specialty Chemicals,-8.2,-1.9,9.3,14,-14.9,7.5,10969,2393,65.2,,17.2,14,21705.5,92.3,6886.7,7256.1,25.1,68.2,70.3
Au Small Finance Bank Ltd.,AUBANK,540611,INE949L01017,725.6,Banks,41.1,1.1,17.4,21.9,26.4,33.6,795,,18.8,0.6,6.8,6.7,48473.4,-1.8,731.5,690.4,8.7,49.6,46.9
Aurionpro Solutions Ltd.,AURIONPRO,532668,INE132H01018,1064.8,IT Software Products,-27.4,0.8,15.5,21.9,37.7,30,1188.2,1835.9,104,0.1,22.8,23.6,2566.1,-9,995.4,685,10.4,42,45.8
Aurobindo Pharma Ltd.,AUROPHARMA,524804,INE406A01037,825.6,Pharmaceuticals,6.1,-1.4,7.8,14.8,-27.2,5.8,1063.9,809.4,38.9,,13.9,9.7,48372.2,9.8,791.4,650.6,7,54.4,51.6
Automotive Axles Ltd.,AUTOAXLES,505010,INE449A01011,2239.5,Auto Parts & Equipment,-1.9,0.3,7,11.1,117.9,55.8,2693.2,1025.4,54.4,,15.8,28.2,3384.3,-2.9,2188.3,2174.2,16.8,50.3,56.1
Automotive Stampings and Assemblies Ltd.,ASAL,520119,INE900C01027,405.4,Auto Parts & Equipment,-1.9,-0.7,1,3.9,-84.1,36.2,925.4,1557.9,54.4,,154.4,196.4,643.1,3.7,384.2,362.6,21.4,60.2,62.6
Avadh Sugar & Energy Ltd.,AVADHSUGAR,540649,INE349W01017,577.9,Sugar,75.4,-0.6,3.6,9.1,-19.4,2.2,885,,16.6,0.3,20.6,17.2,1156.9,-1.2,543,518.3,6.6,52.6,62
Avanti Feeds Ltd.,AVANTIFEED,512573,INE871C01038,438.2,Other Food Products,9.2,0.4,6.1,7.6,25.8,1.2,980,3105.2,36.5,,16.8,18.3,5969.6,7.4,405.5,400.9,17,64.5,67.1
Avenue Supermarts Ltd.,DMART,540376,INE192R01011,3761,Department Stores,-845.3,5.9,5.6,8.5,59.4,38.2,5900,,111.2,,14.8,18.8,244744,-7.3,3649.6,3707.8,18.4,62.2,60.1
AVT Natural Products Ltd.,AVTNPL,519105,INE488D01021,81.4,Other Agricultural Products,8.9,-0.8,13.3,20.7,6.2,2.6,135.7,399.1,33.2,,26.5,24.7,1238.8,-1.8,84.7,90.9,34.8,49.9,48.3
Axis Bank Ltd.,AXISBANK,532215,INE238A01034,991.2,Banks,41.1,-1.1,12.4,20.3,-23.4,23.3,998,495,18.8,1.6,5.4,5.1,305363.5,7,956.9,903.8,0.7,61.3,55.4
AYM Syntex Ltd.,AYMSYNTEX,508933,INE193B01039,71.2,Textiles,-85.9,0.3,0.5,6.5,-85.9,-2,163.2,,31.3,0.4,19.9,8,359.2,-0.8,70.5,73.6,24.2,49.1,48.4
Bajaj Auto Ltd.,BAJAJ-AUTO,532977,INE917I01010,4668.4,2/3 Wheelers,20.4,3.3,15.2,17.1,-1.7,9.3,4995.1,154.1,27.6,,20.6,24.6,132097.2,-36,4679.9,4323.1,6.5,48.9,42.8
Bajaj Consumer Care Ltd.,BAJAJCON,533229,INE933K01021,257.4,Personal Products,6.7,-12.2,14.5,14.2,-17.9,8.6,525,4.2,57.5,,25.5,21.2,3671.2,11.6,221.9,189.2,1.9,72.9,71.4
Bajaj Electricals Ltd.,BAJAJELEC,500031,INE193E01025,1177.6,Household Appliances,-7.4,7.3,4,6.5,68.2,12.8,1589,650.5,76.9,,13.6,17.1,13554.4,-25.5,1188.8,1164,11.3,38.5,46.4
Bajaj Finance Ltd.,BAJFINANCE,500034,INE296A01024,7320.6,Finance (including NBFCs),56.2,0.8,27.8,69,63.7,30.9,8050,7029.5,27.2,2.5,12.4,14.8,443568.7,-14.9,7160.4,6807.4,8.5,55.4,48.7
Bajaj Finserv Ltd.,BAJAJFINSV,532978,INE918I01026,1514.5,Holding Companies,56.5,0.9,14.9,36.2,40.8,19.9,1932.5,2466.5,25.7,2.8,11.8,13.7,241231.9,-16.1,1514.5,1482.2,17.9,46.6,43.2
Bajaj Healthcare Ltd.,BAJAJHCARE,539872,INE411U01027,371,Pharmaceuticals,6.1,0.5,6.4,15.8,-39.7,-0.9,496.3,,38.9,0.3,25.6,17.4,1023.9,0.8,330.8,339.5,19.1,67.9,64.8
Bajaj Hindusthan Sugar Ltd.,BAJAJHIND,500032,INE306A01021,25.1,Sugar,75.4,-0.5,-2.1,4.1,49.6,13.4,32.6,104.1,16.6,0.9,-0.2,0.7,3206.2,1.7,19.2,15.9,1.2,71.1,67.8
Bajaj Holdings & Investment Ltd.,BAJAJHLDNG,500490,INE118A01012,7340,Holding Companies,56.5,0.6,60.2,61.1,19.6,8.4,7640,812,25.7,,0.6,0.7,81690,5.1,7220.5,6637.4,3.9,57.7,58.6
